ccvm,name,cnpj,type,situation
518697,AGROPASTORIL ESTRELA DO ORIENTE SA,02.007.196/0001-71,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 10/06/2011
514462,AGROPASTORIL GADO BRANCO SA,07.093.305/0001-34,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 19/01/2011
501751,AGROPASTORIL GALDINO SA,08.818.981/0001-90,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
506664,AGROPASTORIL IPUIRU SA,23.434.400/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
512966,AGROPASTORIL JAFFARABAD SA,04.365.615/0001-72,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505323,AGROPASTORIL JOSE IVO SA,08.317.364/0001-01,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
501271,AGROPASTORIL LAGOA DE CIMA S/A - LACIMA,08.993.933/0001-39,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/04/2009
506184,AGROPASTORIL LIVRAMENTO SA,05.512.116/0001-23,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
507261,AGROPASTORIL MURRAH S/A - AGROMURRAH,04.856.522/0001-40,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
509400,AGROPASTORIL RIO CUNANY SA,04.705.570/0001-38,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
504017,AGROPASTORIL RODA VELHA SA,43.126.184/0001-43,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 22/10/2007
519561,AGROPASTORIL SANGUINETTE SA AGROSAN,25.129.453/0001-43,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 17/07/2013
507873,AGROPASTORIL SERRA DA EMA SA,11.539.392/0001-88,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
519162,AGROPASTORIL SERRA DA EMA SA,11.539.392/0001-88,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 25/11/2011
504084,AGROPEC AGUA BRANCA SA,09.597.170/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
512567,AGROPEC ALTEROSA SA,05.363.767/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
504602,AGROPEC AMAMBAI SA,04.599.353/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
503371,AGROPEC ANGELUS SA,09.569.724/0001-25,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519030,AGROPEC AQUARIUS SA,04.697.033/0001-93,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/11/2010
